CustomerID,R,F,M,Cluster
12524.0,161,8,3699,new customer
12526.0,93,3,632,new customer
12527.0,81,3,234,new customer
12528.0,113,6,756,new customer
12530.0,123,4,913,new customer
12531.0,14,1,45,new customer
12532.0,29,1,153,new customer
12534.0,130,1,651,new customer
12535.0,91,2,219,new customer
12536.0,42,3,2803,new customer
12538.0,28,1,191,new customer
12539.0,261,4,2067,lost customer
12540.0,91,17,6685,potential loyal customer
12541.0,172,3,680,lost customer
12544.0,35,1,136,new customer
12545.0,74,2,523,new customer
12546.0,77,2,633,new customer
12547.0,196,2,134,lost customer
12548.0,165,1,49,new customer
12550.0,78,1,569,new customer
12551.0,357,1,100,lost customer
12552.0,38,2,88,new customer
12553.0,109,10,1965,new customer
12556.0,150,2,358,new customer
12557.0,157,5,4384,new customer
12558.0,7,1,196,new customer
12559.0,310,2,283,lost customer
12560.0,111,3,1110,new customer
12561.0,302,1,177,lost customer
12562.0,81,7,1779,new customer
12564.0,260,1,133,lost customer
12565.0,288,1,80,lost customer
12566.0,85,1,265,new customer
12567.0,95,10,4305,new customer
12569.0,91,32,1801,potential loyal customer
12571.0,120,2,523,new customer
12572.0,8,2,452,new customer
12573.0,226,1,84,lost customer
12574.0,315,1,61,lost customer
12576.0,95,5,967,new customer
12577.0,358,3,472,lost customer
12578.0,20,2,1196,new customer
12579.0,77,1,285,new customer
12580.0,246,1,238,lost customer
12581.0,39,1,161,new customer
12582.0,238,2,300,lost customer
12583.0,69,15,5060,potential loyal customer
12584.0,79,9,416,new customer
12585.0,233,2,1279,lost customer
12586.0,16,1,79,new customer
12587.0,6,1,51,new customer
12588.0,38,1,53,new customer
12589.0,144,2,306,new customer
12590.0,210,2,4283,lost customer
12591.0,316,1,228,lost customer
12592.0,91,2,290,new customer
12593.0,107,3,206,new customer
12594.0,120,10,1777,new customer
12596.0,241,2,474,lost customer
12597.0,182,4,2236,lost customer
12598.0,70,8,1964,new customer
12599.0,125,7,956,new customer
12600.0,83,10,774,new customer
12601.0,189,5,245,lost customer
12602.0,58,1,162,new customer
12603.0,21,1,63,new customer
12604.0,78,2,201,new customer
12607.0,59,1,1228,new customer
12609.0,77,3,648,new customer
12610.0,125,5,1049,new customer
12611.0,51,1,846,new customer
12612.0,73,1,262,new customer
12613.0,197,5,1644,lost customer
12614.0,277,1,76,lost customer
12615.0,71,4,1376,new customer
12616.0,94,2,284,new customer
12617.0,28,1,213,new customer
12618.0,21,1,96,new customer
12619.0,77,9,3378,new customer
12620.0,80,3,1181,new customer
12621.0,80,20,7440,potential loyal customer
12622.0,231,1,69,lost customer
12623.0,275,1,191,lost customer
12624.0,105,2,355,new customer
12625.0,211,2,1612,lost customer
12626.0,126,9,3453,new customer
12627.0,95,7,2752,new customer
12628.0,3,3,448,new customer
12630.0,9,2,548,new customer
12631.0,56,1,236,new customer
12633.0,129,4,1162,new customer
12635.0,89,2,1172,new customer
12637.0,91,8,3002,new customer
12638.0,32,1,577,new customer
12639.0,237,1,201,lost customer
12640.0,81,3,311,new customer
12641.0,114,1,72,new customer
12642.0,107,3,552,new customer
12643.0,127,6,1808,new customer
12644.0,129,1,325,new customer
12645.0,108,4,1084,new customer
12646.0,4,2,897,new customer
12647.0,77,12,1431,new customer
12648.0,154,1,160,new customer
12649.0,106,3,586,new customer
12650.0,2,1,254,new customer
12651.0,333,1,78,lost customer
12652.0,330,1,505,lost customer
12653.0,148,2,919,new customer
12654.0,197,5,264,lost customer
12656.0,72,5,1723,new customer
12657.0,78,4,1044,new customer
12658.0,18,1,320,new customer
12659.0,29,1,105,new customer
12660.0,10,1,127,new customer
12662.0,106,11,2058,new customer
12664.0,86,9,1203,new customer
12665.0,324,1,37,lost customer
12667.0,57,1,395,new customer
12668.0,258,4,1634,lost customer
12669.0,150,3,1115,new customer
12670.0,98,5,1397,new customer
12672.0,329,1,78,lost customer
12673.0,4,2,351,new customer
12674.0,91,4,1133,new customer
12676.0,70,6,670,new customer
12678.0,78,12,10923,potential loyal customer
12679.0,87,4,554,new customer
12680.0,72,4,443,new customer
12681.0,77,22,7536,potential loyal customer
12682.0,80,31,5575,potential loyal customer
12683.0,92,15,4987,potential loyal customer
12684.0,170,7,1985,new customer
12685.0,92,6,1523,new customer
12686.0,371,1,107,lost customer
12688.0,113,1,3028,new customer
12689.0,127,2,628,new customer
12690.0,205,1,106,lost customer
12691.0,144,6,394,new customer
12693.0,126,4,255,new customer
12694.0,69,2,509,new customer
12695.0,106,4,220,new customer
12697.0,130,3,508,new customer
12700.0,155,4,2967,new customer
12701.0,79,2,678,new customer
12702.0,19,1,53,new customer
12703.0,70,1,164,new customer
12704.0,77,8,1006,new customer
12705.0,76,9,3997,new customer
12707.0,291,1,256,lost customer
12708.0,71,10,1307,new customer
12709.0,95,15,3936,potential loyal customer
12710.0,96,3,851,new customer
12712.0,106,13,1062,new customer
12713.0,0,1,508,new customer
12714.0,106,5,3069,new customer
12715.0,105,1,197,new customer
12716.0,132,2,708,new customer
12717.0,150,2,506,new customer
12718.0,70,1,203,new customer
12719.0,4,2,374,new customer
12720.0,93,25,4672,potential loyal customer
12721.0,78,6,1959,new customer
12722.0,84,4,566,new customer
12723.0,3,5,434,new customer
12724.0,80,4,445,new customer
12725.0,370,1,164,lost customer
12726.0,85,7,3143,new customer
12727.0,94,7,2098,new customer
12728.0,70,4,419,new customer
12729.0,113,1,233,new customer
12731.0,70,12,8437,potential loyal customer
12732.0,179,1,111,lost customer
12733.0,233,1,137,lost customer
12734.0,351,1,88,lost customer
12735.0,336,2,368,lost customer
12736.0,332,1,173,lost customer
12738.0,371,1,148,lost customer
12739.0,77,2,486,new customer
12740.0,63,1,342,new customer
12743.0,133,2,319,new customer
12744.0,144,7,5241,new customer
12747.0,109,11,1275,new customer
12748.0,90,209,25747,loyal customer
12749.0,129,5,1471,new customer
12750.0,128,1,137,new customer
12752.0,80,1,2262,new customer
12753.0,135,6,11421,new customer
12754.0,235,3,6481,lost customer
12755.0,279,2,1491,lost customer
12756.0,86,1,144,new customer
12757.0,142,13,2402,potential loyal customer
12758.0,116,2,2135,new customer
12759.0,171,3,902,new customer
12762.0,7,2,1227,new customer
12763.0,137,2,316,new customer
12764.0,316,1,386,lost customer
12766.0,148,7,3646,new customer
12769.0,238,1,356,lost customer
12770.0,210,1,743,lost customer
12772.0,59,1,556,new customer
12775.0,189,5,877,lost customer
12778.0,182,6,825,lost customer
12779.0,189,8,2024,lost customer
12781.0,284,2,671,lost customer
12782.0,149,5,1086,new customer
12783.0,74,6,624,new customer
12784.0,8,2,300,new customer
12785.0,363,1,131,lost customer
12787.0,90,3,261,new customer
12789.0,64,1,4,new customer
12790.0,191,1,166,lost customer
12791.0,373,1,97,lost customer
12792.0,256,1,217,lost customer
12793.0,370,2,295,lost customer
12794.0,98,2,592,new customer
12795.0,18,1,68,new customer
12797.0,365,1,118,lost customer
12798.0,170,3,5256,new customer
12802.0,186,1,314,lost customer
12808.0,183,3,188,lost customer
12809.0,177,1,220,lost customer
12811.0,260,3,230,lost customer
12812.0,44,1,164,new customer
12814.0,101,1,49,new customer
12815.0,147,2,379,new customer
12816.0,94,2,128,new customer
12817.0,280,1,53,lost customer
12818.0,261,1,929,lost customer
12820.0,74,4,722,new customer
12821.0,213,1,70,lost customer
12822.0,70,2,550,new customer
12823.0,74,5,230,new customer
12824.0,58,1,232,new customer
12826.0,71,7,1058,new customer
12827.0,4,3,197,new customer
12828.0,98,6,494,new customer
12829.0,359,2,376,lost customer
12830.0,90,6,9848,new customer
12831.0,261,1,135,lost customer
12832.0,97,2,195,new customer
12833.0,144,1,156,new customer
12834.0,282,1,110,lost customer
12836.0,136,4,1064,new customer
12837.0,172,1,24,lost customer
12838.0,373,2,359,lost customer
12839.0,91,14,3807,potential loyal customer
12840.0,143,4,1511,new customer
12841.0,89,25,2757,potential loyal customer
12842.0,69,2,547,new customer
12843.0,158,8,781,new customer
12844.0,129,2,125,new customer
12845.0,266,4,204,lost customer
12847.0,21,1,909,new customer
12849.0,267,2,623,lost customer
12851.0,95,1,109,new customer
12852.0,294,1,149,lost customer
12853.0,134,6,800,new customer
12854.0,78,3,627,new customer
12855.0,372,1,30,lost customer
12856.0,7,6,1079,new customer
12857.0,210,2,343,lost customer
12863.0,51,1,188,new customer
12864.0,137,1,216,new customer
12865.0,123,2,925,new customer
12866.0,282,1,171,lost customer
12867.0,95,7,4298,new customer
12868.0,185,6,928,lost customer
12871.0,83,2,200,new customer
12872.0,364,2,319,lost customer
12873.0,281,1,128,lost customer
12875.0,142,2,2019,new customer
12876.0,195,2,1941,lost customer
12877.0,77,12,1178,new customer
12878.0,235,2,547,lost customer
12879.0,91,3,370,new customer
12881.0,275,1,21,lost customer
12882.0,33,2,246,new customer
12883.0,88,4,196,new customer
12884.0,87,1,43,new customer
12885.0,123,3,655,new customer
12886.0,219,2,770,lost customer
12888.0,213,2,76,lost customer
12890.0,23,1,259,new customer
12891.0,184,3,950,lost customer
12893.0,29,1,96,new customer
12895.0,86,2,210,new customer
12897.0,204,2,110,lost customer
12901.0,80,28,23075,potential loyal customer
12902.0,264,1,66,lost customer
12904.0,171,2,302,lost customer
12906.0,77,5,1749,new customer
12908.0,175,2,1200,lost customer
12909.0,86,5,1280,new customer
12910.0,77,8,1692,new customer
12912.0,2,5,670,new customer
12913.0,282,5,1419,lost customer
12915.0,148,2,93,new customer
12916.0,138,4,1119,new customer
12917.0,127,1,120,new customer
12919.0,116,6,673,new customer
12920.0,16,1,129,new customer
12921.0,97,37,9526,potential loyal customer
12922.0,160,1,370,new customer
12923.0,63,1,69,new customer
12924.0,87,4,481,new customer
12925.0,74,2,541,new customer
12928.0,147,5,1472,new customer
12929.0,311,1,37,lost customer
12930.0,77,2,252,new customer
12931.0,126,15,28004,potential loyal customer
12933.0,170,3,499,new customer
12935.0,108,7,1853,new customer
12936.0,77,4,559,new customer
12937.0,70,4,1007,new customer
12938.0,25,1,140,new customer
12939.0,78,8,4876,new customer
12940.0,87,2,411,new customer
12942.0,130,3,203,new customer
12944.0,354,2,289,lost customer
12945.0,287,1,165,lost customer
12947.0,143,6,1165,new customer
12948.0,104,7,1080,new customer
12949.0,113,8,2381,new customer
12950.0,1,3,1380,new customer
12951.0,173,6,503,new customer
12952.0,77,4,653,new customer
12953.0,9,1,84,new customer
12955.0,91,11,3664,new customer
12956.0,305,1,34,lost customer
12957.0,71,8,2549,new customer
12962.0,112,2,129,new customer
12963.0,84,8,881,new customer
12965.0,88,1,283,new customer
12966.0,8,1,75,new customer
12967.0,371,2,438,lost customer
12968.0,111,1,73,new customer
12970.0,6,4,310,new customer
12971.0,91,86,9289,potential loyal customer
12974.0,197,1,24,lost customer
12976.0,211,1,561,lost customer
12977.0,155,1,12,new customer
12980.0,157,9,886,new customer
12981.0,132,2,242,new customer
12982.0,242,1,288,lost customer
12984.0,17,1,26,new customer
12985.0,0,2,1533,new customer
12987.0,73,2,219,new customer
12988.0,291,1,136,lost customer
12989.0,87,15,2943,potential loyal customer
12990.0,184,3,200,lost customer
12991.0,111,2,405,new customer
12993.0,120,4,240,new customer
12994.0,119,3,459,new customer
12995.0,84,1,108,new customer
12997.0,88,4,664,new customer
12999.0,195,3,342,lost customer
13000.0,106,3,379,new customer
13001.0,157,13,5505,potential loyal customer
13002.0,317,1,73,lost customer
13003.0,105,3,103,new customer
13004.0,77,18,4822,potential loyal customer
13005.0,173,2,172,lost customer
13006.0,55,1,55,new customer
13008.0,322,1,175,lost customer
13011.0,371,1,13,lost customer
13012.0,77,8,824,new customer
13013.0,92,13,2224,potential loyal customer
13014.0,74,10,905,new customer
13015.0,196,5,1617,lost customer
13016.0,72,3,527,new customer
13017.0,6,1,48,new customer
13018.0,92,28,5435,potential loyal customer
13021.0,69,9,1352,new customer
13023.0,129,2,286,new customer
13026.0,92,5,1620,new customer
13027.0,113,6,17280,potential loyal customer
13028.0,22,2,798,new customer
13029.0,138,3,134,new customer
13030.0,367,2,394,lost customer
13032.0,86,2,375,new customer
13033.0,356,1,83,lost customer
13034.0,368,2,369,lost customer
13035.0,73,2,644,new customer
13037.0,137,3,431,new customer
13038.0,79,3,360,new customer
13040.0,8,2,355,new customer
13043.0,272,1,254,lost customer
13044.0,290,1,429,lost customer
13045.0,98,1,221,new customer
13046.0,265,2,264,lost customer
13047.0,126,10,1391,new customer
13048.0,113,4,1238,new customer
13049.0,63,2,268,new customer
13050.0,105,17,3748,potential loyal customer
13052.0,211,1,222,lost customer
13055.0,77,3,894,new customer
13058.0,151,3,52,new customer
13059.0,249,1,35,lost customer
13060.0,253,1,123,lost customer
13061.0,71,1,107,new customer
13062.0,190,1,343,lost customer
13064.0,87,4,516,new customer
13065.0,372,1,74,lost customer
13066.0,31,2,322,new customer
13067.0,81,1,32,new customer
13068.0,9,2,200,new customer
13069.0,99,24,5885,potential loyal customer
13070.0,191,1,110,lost customer
13072.0,266,1,69,lost customer
13075.0,129,1,485,new customer
13077.0,289,4,863,lost customer
13078.0,82,26,5630,potential loyal customer
13079.0,90,5,62,new customer
13080.0,178,1,120,lost customer
13081.0,143,11,19068,potential loyal customer
13082.0,125,9,4324,new customer
13083.0,75,2,187,new customer
13085.0,157,2,216,new customer
13089.0,70,97,31070,loyal customer
13090.0,135,14,2263,potential loyal customer
13091.0,27,1,466,new customer
13092.0,70,5,279,new customer
13093.0,275,8,3961,lost customer
13094.0,79,12,1716,new customer
13095.0,70,1,144,new customer
13097.0,76,10,2363,new customer
13098.0,93,28,15968,potential loyal customer
13099.0,98,1,288,new customer
13101.0,233,1,113,lost customer
13102.0,80,24,4204,potential loyal customer
13103.0,39,1,82,new customer
13104.0,85,6,504,new customer
13106.0,132,1,18,new customer
13107.0,85,4,1293,new customer
13108.0,372,1,298,lost customer
13109.0,156,2,520,new customer
13110.0,136,7,388,new customer
13113.0,122,24,3045,potential loyal customer
13115.0,183,4,1567,lost customer
13116.0,137,1,291,new customer
13117.0,121,8,945,new customer
13118.0,207,5,410,lost customer
13120.0,238,1,12,lost customer
13121.0,268,1,252,lost customer
13122.0,93,2,585,new customer
13124.0,88,3,2147,new customer
13126.0,72,8,2143,new customer
13127.0,77,1,127,new customer
13130.0,93,1,32,new customer
13131.0,70,3,447,new customer
13132.0,260,1,20,lost customer
13133.0,273,2,32,lost customer
13134.0,85,4,1059,new customer
13135.0,196,1,4300,lost customer
13136.0,87,5,1328,new customer
13137.0,91,8,2226,new customer
13138.0,79,6,473,new customer
13139.0,71,7,2425,new customer
13140.0,107,3,186,new customer
13141.0,84,5,1548,new customer
13142.0,18,1,258,new customer
13144.0,332,1,21,lost customer
13145.0,91,4,145,new customer
13146.0,25,1,154,new customer
13147.0,98,4,144,new customer
13148.0,158,12,1975,new customer
13149.0,105,4,1280,new customer
13151.0,294,1,363,lost customer
13153.0,5,1,418,new customer
13155.0,79,4,497,new customer
13157.0,140,4,1439,new customer
13158.0,94,4,784,new customer
13159.0,105,4,1059,new customer
13160.0,21,1,56,new customer
13161.0,312,1,29,lost customer
13162.0,121,4,1713,new customer
13165.0,350,2,1376,lost customer
13166.0,282,1,216,lost customer
13167.0,130,4,785,new customer
13168.0,198,4,682,lost customer
13169.0,251,2,272,lost customer
13170.0,25,1,147,new customer
13171.0,298,3,229,lost customer
13173.0,366,2,277,lost customer
13174.0,368,3,1395,lost customer
13176.0,45,1,453,new customer
13177.0,64,1,91,new customer
13178.0,72,11,3570,new customer
13182.0,44,1,201,new customer
13183.0,86,9,2208,new customer
13184.0,130,10,1692,new customer
13185.0,267,1,12,lost customer
13186.0,93,3,820,new customer
13187.0,336,1,95,lost customer
13188.0,10,1,25,new customer
13189.0,114,2,842,new customer
13192.0,94,2,595,new customer
13193.0,60,1,50,new customer
13194.0,135,1,26,new customer
13196.0,83,4,1224,new customer
13198.0,119,6,2648,new customer
13199.0,91,38,6176,potential loyal customer
13200.0,73,4,516,new customer
13203.0,120,4,800,new customer
13207.0,150,2,130,new customer
13208.0,154,6,804,new customer
13209.0,128,8,4253,new customer
13210.0,93,1,316,new customer
13211.0,94,3,874,new customer
13212.0,18,3,310,new customer
13213.0,127,5,1360,new customer
13216.0,266,1,297,lost customer
13217.0,121,3,262,new customer
13218.0,126,1,88,new customer
13220.0,77,4,196,new customer
13221.0,239,2,244,lost customer
13223.0,199,2,88,lost customer
13224.0,150,2,1518,new customer
13225.0,142,7,3416,new customer
13226.0,272,1,80,lost customer
13227.0,201,1,99,lost customer
13228.0,80,1,200,new customer
13229.0,225,1,63,lost customer
13230.0,137,14,1665,potential loyal customer
13232.0,97,7,778,new customer
13233.0,73,2,1004,new customer
13235.0,211,1,441,lost customer
13236.0,106,2,416,new customer
13238.0,163,4,298,new customer
13239.0,261,1,327,lost customer
13240.0,95,4,298,new customer
13242.0,111,3,130,new customer
13243.0,202,1,233,lost customer
13244.0,92,1,38,new customer
13245.0,50,1,125,new customer
13246.0,175,6,1602,new customer
13247.0,82,4,328,new customer
13248.0,123,2,305,new customer
13249.0,91,3,546,new customer
13253.0,156,2,1572,new customer
13255.0,373,2,177,lost customer
13258.0,204,3,287,lost customer
13259.0,61,1,132,new customer
13260.0,60,1,142,new customer
13261.0,267,2,210,lost customer
13262.0,262,1,125,lost customer
13263.0,70,35,4780,potential loyal customer
13265.0,88,5,1752,new customer
13266.0,75,12,4428,potential loyal customer
13267.0,91,19,1969,potential loyal customer
13268.0,84,11,3658,new customer
13269.0,87,15,3514,potential loyal customer
13270.0,365,1,200,lost customer
13271.0,36,1,253,new customer
13272.0,89,2,96,new customer
13273.0,112,1,153,new customer
13276.0,99,2,161,new customer
13277.0,115,4,176,new customer
13278.0,40,1,537,new customer
13279.0,77,1,73,new customer
13280.0,121,3,522,new customer
13282.0,161,3,307,new customer
13283.0,184,2,90,lost customer
13284.0,330,1,91,lost customer
13285.0,160,4,2051,new customer
13291.0,155,1,233,new customer
13292.0,283,2,347,lost customer
13294.0,189,2,453,lost customer
13295.0,359,1,82,lost customer
13296.0,136,1,78,new customer
13297.0,7,4,963,new customer
13298.0,0,1,96,new customer
13299.0,267,1,30,lost customer
13300.0,168,1,203,new customer
13301.0,103,4,345,new customer
13302.0,154,1,5,new customer
13304.0,350,1,238,lost customer
13305.0,92,10,1232,new customer
13307.0,119,1,4,new customer
13308.0,202,3,843,lost customer
13309.0,87,5,1544,new customer
13310.0,205,3,587,lost customer
13311.0,149,2,305,new customer
13313.0,140,5,851,new customer
13314.0,73,3,560,new customer
13316.0,79,4,6948,new customer
13317.0,198,6,1035,lost customer
13318.0,0,3,304,new customer
13319.0,91,26,4724,potential loyal customer
13320.0,77,4,1096,new customer
13321.0,71,2,372,new customer
13322.0,16,1,117,new customer
13323.0,83,5,175,new customer
13324.0,88,10,5205,new customer
13325.0,81,1,240,new customer
13327.0,112,8,1600,new customer
13328.0,315,1,680,lost customer
13329.0,366,2,463,lost customer
13330.0,91,3,751,new customer
13332.0,13,1,179,new customer
13334.0,81,3,1774,new customer
13336.0,76,1,559,new customer
13338.0,157,1,256,new customer
13339.0,200,1,326,lost customer
13340.0,105,7,5770,new customer
13341.0,260,1,301,lost customer
13343.0,176,1,135,lost customer
13344.0,277,3,971,lost customer
13345.0,287,1,141,lost customer
13347.0,69,1,205,new customer
13348.0,63,1,136,new customer
13349.0,10,1,225,new customer
13350.0,78,2,287,new customer
13351.0,65,1,117,new customer
13352.0,59,1,321,new customer
13354.0,70,1,604,new customer
13355.0,121,1,314,new customer
13356.0,79,1,325,new customer
13357.0,256,1,322,lost customer
13358.0,268,1,285,lost customer
13359.0,63,1,161,new customer
13362.0,245,4,1382,lost customer
13363.0,16,2,710,new customer
13364.0,70,1,71,new customer
13365.0,217,2,1247,lost customer
13366.0,49,1,144,new customer
13368.0,256,2,327,lost customer
13369.0,365,1,149,lost customer
13370.0,371,1,343,lost customer
13372.0,88,1,159,new customer
13373.0,157,3,1651,new customer
13375.0,88,1,442,new customer
13376.0,98,3,493,new customer
13379.0,135,3,601,new customer
13381.0,88,6,2029,new customer
13382.0,280,1,131,lost customer
13384.0,73,7,2422,new customer
13385.0,329,1,281,lost customer
13388.0,130,2,282,new customer
13389.0,74,3,429,new customer
13390.0,74,1,224,new customer
13391.0,203,1,4,lost customer
13394.0,77,8,2392,new customer
13395.0,184,1,336,lost customer
13396.0,28,2,600,new customer
13397.0,72,5,430,new customer
13398.0,191,1,281,lost customer
13402.0,126,2,479,new customer
13403.0,17,1,44,new customer
13404.0,212,2,111,lost customer
13405.0,73,3,165,new customer
13408.0,74,62,16232,potential loyal customer
13410.0,74,5,518,new customer
13411.0,106,1,72,new customer
13414.0,156,3,1574,new customer
13416.0,80,2,142,new customer
13417.0,204,2,162,lost customer
13418.0,98,18,3918,potential loyal customer
13419.0,62,1,275,new customer
13420.0,149,2,101,new customer
13421.0,289,2,1181,lost customer
13422.0,63,1,1326,new customer
13425.0,107,3,1123,new customer
13426.0,89,10,2245,new customer
13427.0,119,3,545,new customer
13428.0,9,1,156,new customer
13429.0,74,4,1390,new customer
13430.0,85,2,751,new customer
13431.0,88,2,672,new customer
13434.0,96,2,300,new customer
13435.0,74,7,2129,new customer
13436.0,1,1,76,new customer
13437.0,98,7,1283,new customer
13439.0,254,1,242,lost customer
13441.0,91,1,204,new customer
13447.0,33,3,584,new customer
13448.0,79,6,1660,new customer
13449.0,23,1,222,new customer
13450.0,88,6,1982,new customer
13451.0,125,5,2149,new customer
13452.0,258,2,2,lost customer
13453.0,165,2,134,new customer
13455.0,365,2,354,lost customer
13456.0,154,6,765,new customer
13458.0,98,14,5508,potential loyal customer
13460.0,28,2,286,new customer
13461.0,138,3,1170,new customer
13462.0,252,1,62,lost customer
13464.0,57,1,403,new customer
13466.0,183,1,259,lost customer
13467.0,35,2,584,new customer
13468.0,92,37,2589,potential loyal customer
13470.0,98,2,100,new customer
13471.0,0,4,1590,new customer
13473.0,60,2,266,new customer
13474.0,235,1,132,lost customer
13475.0,190,4,1012,lost customer
13476.0,178,2,417,lost customer
13477.0,137,6,1021,new customer
13479.0,200,2,134,lost customer
13481.0,107,5,1142,new customer
13482.0,231,1,116,lost customer
13483.0,65,1,160,new customer
13484.0,240,1,44,lost customer
13485.0,232,1,277,lost customer
13486.0,77,3,669,new customer
13487.0,212,3,265,lost customer
13488.0,71,13,4518,potential loyal customer
13489.0,104,4,560,new customer
13491.0,147,10,903,new customer
13492.0,135,3,408,new customer
13493.0,274,2,380,lost customer
13494.0,311,1,162,lost customer
13495.0,231,5,829,lost customer
13496.0,359,2,341,lost customer
13497.0,282,2,163,lost customer
13499.0,73,5,1365,new customer
13500.0,121,3,609,new customer
13501.0,287,1,560,lost customer
13502.0,274,3,264,lost customer
13503.0,70,1,248,new customer
13504.0,63,1,178,new customer
13505.0,72,4,2486,new customer
13506.0,369,2,324,lost customer
13507.0,97,4,1597,new customer
13508.0,243,1,24,lost customer
13509.0,99,7,1106,new customer
13510.0,94,4,1386,new customer
13512.0,260,1,143,lost customer
13513.0,126,1,109,new customer
13514.0,73,1,40,new customer
13515.0,72,4,681,new customer
13516.0,71,3,985,new customer
13517.0,106,3,1369,new customer
13518.0,85,1,392,new customer
13519.0,77,1,23,new customer
13520.0,136,6,1649,new customer
13521.0,0,3,736,new customer
13522.0,29,1,44,new customer
